web-scraper-order,headline,headline-href,head,date
1545818363-19,Pregnant woman turns HIV positive after blood transfusion,https://timesofindia.indiatimes.com/city/madurai/pregnant-woman-turns-hiv-positive-after-blood-transfusion/articleshow/67244584.cms,Pregnant woman turns HIV positive after blood transfusion,"Dec 26, 2018, 14:03 IST"
1545818358-17,OSACS declares war against AIDS,https://timesofindia.indiatimes.com/city/bhubaneswar/osacs-declares-war-against-aids/articleshow/67235419.cms,OSACS declares war against AIDS,"Dec 25, 2018, 11:51 IST"
1545818347-12,"'Need equality, not rehabilitation': Why the Transgender Persons Bill fails the community",https://timesofindia.indiatimes.com/india/we-dont-need-rehabilitation-we-need-equality-why-the-transgender-persons-bill-fails-the-community/articleshow/67181808.cms,"'Need equality, not rehabilitation': Why the Transgender Persons Bill fails the community","Dec 20, 2018, 21:14 IST"
1545818354-15,1st clinical trial in haemophilia gene editing to take place in 2019,https://timesofindia.indiatimes.com/business/india-business/1st-clinical-trial-in-haemophilia-gene-editing-to-take-place-in-2019/articleshow/67199984.cms,1st clinical trial in haemophilia gene editing to take place in 2019,"Dec 22, 2018, 23:17 IST"
1545818352-14,"Seven doctors, woman held for participating in rave party",https://timesofindia.indiatimes.com/city/hyderabad/seven-doctors-woman-held-for-participating-in-rave-party/articleshow/67211362.cms,"Seven doctors, woman held for participating in rave party","Dec 22, 2018, 22:58 IST"
1545818350-13,WHO felicitates Dr Swarup Sarkar for his contribution to public health,https://timesofindia.indiatimes.com/india/who-felicitates-dr-swarup-sarkar-for-his-contribution-to-public-health/articleshow/67203097.cms,WHO felicitates Dr Swarup Sarkar  for his contribution to public health,"Dec 22, 2018, 09:31 IST"
1545818356-16,"Raid at sleaze party, seven doctors in dock",https://timesofindia.indiatimes.com/city/hyderabad/raid-at-sleaze-party-seven-docs-in-dock/articleshow/67212030.cms,"Raid at sleaze party, seven doctors in dock","Dec 23, 2018, 09:43 IST"
1545818365-20,Chandigarh: NSS camp begins at KBDAV,https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-nss-camp-begins-at-kbdav/articleshow/67253066.cms,Chandigarh: NSS camp begins at KBDAV,"Dec 26, 2018, 12:05 IST"
1545818369-21,Samantha turns into a true Santa for HIV-affected kids,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/samantha-turns-into-a-true-santa-for-hiv-affected-kids/articleshow/67254900.cms,Samantha turns into a true Santa for HIV-affected kids,"Dec 26, 2018, 14:25 IST"
1545818361-18,"Christmas celebrated with much fervour, gaiety",https://timesofindia.indiatimes.com/city/coimbatore/christmas-celebrated-with-much-fervour-gaiety/articleshow/67248392.cms,"Christmas celebrated with much fervour, gaiety","Dec 25, 2018, 23:52 IST"
